time,open,high,low,close,50d,200d,RS,Z of ROC
2021-10-16,53494960803.30006,55597444255.98199,52947893202.56876,53139624692.45659,50539673042.741425,45899657124.61559,2.1482139331268866,0.49662708495645924
2021-10-17,53195878430.32099,53451832937.60401,47909433414.514,51250905443.65936,50490018126.97537,46030024845.90694,2.081036290762215,0.4822465166751102
2021-10-18,51337629956.20031,51857508250.29714,49878314239.768005,50797594072.702065,50446839827.5219,46155238557.59058,2.057134386900551,0.49266082580619625
2021-10-19,50784468200.53371,51596397150.37655,49878314239.768005,51150586277.80118,50426931780.11936,46276019731.32889,2.0201941466000894,0.5464103404851711
2021-10-20,51171681429.500336,54052810370.455345,50964011380.55092,53716225505.56669,50401006265.738075,46402081289.24882,2.0129017929290285,0.5953201412573749
2021-10-21,53834786808.26441,54829579943.93465,50936788683.445,51099692514.53399,50341420880.02655,46528374641.017365,2.0278027640473635,0.5379991111570622
2021-10-22,51115654273.199776,52924027637.33461,50279539797.207,51094997879.63229,50203225415.62131,46608831761.68816,2.0137637654779086,0.398850521099386
2021-10-23,51123635152.53266,51713750759.67635,50494554075.70486,51354141726.20613,50050455001.612305,46641625046.626076,2.0074240695028998,0.33094116458899425
2021-10-24,51383717926.08684,51453667986.12217,49429810879.9993,50792193928.47264,49892624542.330574,46669659591.003075,1.9870452995271772,0.25406159921191673
2021-10-25,50804399979.21706,51781822965.751,50625534389.4623,51394046122.87058,49733918288.75306,46701551147.014465,1.968841842142827,0.22875303240474226
2021-10-26,51460998009,54537675130,51256011575,52054800454,49527163903.70048,46728159157.17272,2.007775573072713,0.17074820155835474
2021-10-27,52041166035.6489,52887440304.9069,45134627693.76,46796616328.10835,49379977022.33838,46702073141.65186,1.9525324068576415,0.04657880351476888
2021-10-28,46929199296.95877,50860143277.66218,46153918035.84408,49719083471.2793,49325070969.426994,46630477339.89461,1.9065764180985982,0.02684331035775739
2021-10-29,49877524820.57928,51296914831.07367,49520679170.3755,50851210382.59779,49316372880.29621,46563840262.60248,1.9175869589597383,0.056911052295040565
